"Flow",Coal,Crude oil,"Oil products",Natural gas,Nuclear,Hydro,"Geo-therm., Solar etc.","Biofuels and Waste",Electricity,Heat,Total
Production,5497285.924,0.037647,312218.6356,655,136647.8788,-29858.5516,78529.08028,652280.5,0,0,6647758.505
Imports,51069.14308,307174.6899,798101.1678,133923.4218,0,0,0,0,29602.8,0,1319871.223
Exports,-1094444.382,-1.7343,-136194.21,-392.679,0,0,0,0,33634.8,0,-1197398.206
Intl. marine bunkers,0,0,-2265.658827,0,0,0,0,0,0,0,-2265.658827
Intl. aviation bunkers,0,0,-2421.510367,0,0,0,0,0,0,0,-2421.510367
Stock changes,0,33857.766,-11508.36284,0,0,0,0,0,0,0,22349.40316
TPES,4453910.685,341030.7592,957930.0613,134185.7428,136647.8788,-29858.5516,78529.08028,652280.5,63237.6,0,6787893.756
Transfers,0,-180768.7965,0,0,0,0,0,0,0,0,-180768.7965
Statistical differences,-945495.4073,103172.1158,430856.9228,-388.390408,-29706.06061,-6671.12,-16743.00506,0,475583.881,0,10608.93621
Electricity plants,-2375269.072,0,-30449.0625,0,-106941.8182,36529.6716,-61786.07522,-4298.84,721797.1189,0,-1820418.077
CHP plants,0,0,0,0,0,0,0,0,0,0,0
Heat plants,0,0,0,0,0,0,0,0,0,0,0
Blast furnaces,-20747.93,0,0,0,0,0,0,0,0,0,-20747.93
Gas works,21779.7237,0,0,0,0,0,0,0,0,0,21779.7237
Coke/pat. fuel/BKB/PB plants,-22298.20344,0,0,0,0,0,0,0,0,0,-22298.20344
Oil refineries,0,-444202.875,376440.5256,0,0,0,0,0,0,0,-67762.34941
Petrochemical plants,0,0,0,0,0,0,0,0,0,0,0
Liquefaction plants,-11476.08,180768.7965,0,-51487.1451,0,0,0,0,0,0,117805.5714
Other transformation,0,0,0,0,0,0,0,-221515.2,0,0,-221515.2
Energy industry own use,-750.95064,0,-553221.3855,-19958.33023,0,0,0,0,42708.0384,0,-531222.628
Losses,0,0,0,0,0,0,0,0,-27669.6,0,-27669.6
TFC,1099652.766,0,1181557.062,62351.87706,0,0,0,426466.46,1275657.038,0,4045685.203
INDUSTRY,852163.9016,0,56405.8071,60857.53551,0,0,0,82216.04,365714.712,0,1417357.996
Iron and steel,146751.5899,0,43.99168194,10429.434,0,0,0,0,60527.772,0,217752.7876
Chemical and petrochemical,48880.62051,0,484.1072563,37249.794,0,0,0,0,28623.456,0,115237.9778
Non-ferrous metals,80104.09636,0,0,170.6814,0,0,0,0,54245.304,0,134520.0818
Non-metallic minerals,19056.75411,0,202.9960629,5223.3777,0,0,0,0,7228.152,0,31711.27987
Transport equipment,0,0,48.38493156,535.4784,0,0,0,0,177.3,0,761.1633316
Machinery,313.0578,0,0,691.7373,0,0,0,0,218.088,0,1222.8831
Mining and quarrying,157582.7725,0,46683.0196,0,0,0,0,0,101485.224,0,305751.0161
Food and tobacco,951.1911,0,1363.300581,2797.6626,0,0,0,0,2354.4,0,7466.554281
"Paper, pulp and printing",3286.9044,0,269.4012142,768.15441,0,0,0,0,3846.564,0,8171.024024
Wood and wood products,0,0,39.34486573,0,0,0,0,0,977.436,0,1016.780866
Construction,0,0,2343.182814,0,0,0,0,0,754.632,0,3097.814814
Textile and leather,0,0,3.317484096,10.6434,0,0,0,0,422.1,0,436.0608841
Non-specified,395236.9149,0,4924.760613,2980.5723,0,0,0,82216.04,104854.284,0,590212.5718
TRANSPORT,0,0,712990.6906,0,0,0,0,0,7273.764,0,720264.4546
Domestic aviation,0,0,68926.71858,0,0,0,0,0,201.384,0,69128.10258
Road,0,0,639456.8822,0,0,0,0,0,235.44,0,639692.3222
Rail,0,0,350.7286637,0,0,0,0,0,6018.084,0,6368.812664
Pipeline transport,0,0,555.8813655,0,0,0,0,0,39.492,0,595.3733655
Domestic navigation,0,0,0,0,0,0,0,0,0,0,0
Non-specified,0,0,3700.479848,0,0,0,0,0,779.364,0,4479.843848
OTHER,247488.8644,0,303822.1401,1494.34155,0,0,0,344250.42,902668.5623,0,1799724.328
Residential,27133.09649,0,165.6832575,226.32525,0,0,0,20999.28,123001.5589,0,171525.9439
Comm. and public services,26708.84355,0,205940.2998,1268.0163,0,0,0,0,756294.5328,0,990211.6925
Agriculture/forestry,232.70552,0,45045.77585,0,0,0,0,0,21649.78992,0,66928.27129
Fishing,0,0,0,0,0,0,0,0,0,0,0
Non-specified,193414.2188,0,52670.38117,0,0,0,0,323251.14,1722.680663,0,571058.4206
NON-ENERGY USE,0,0,108338.424,0,0,0,0,0,0,0,108338.424
in industry/transf./energy,0,0,7209.423107,0,0,0,0,0,0,0,7209.423107
of which: chem./petrochem.,402240.4,0,0,0,0,0,0,0,0,0,402240.4
in transport,0,0,4310.936574,0,0,0,0,0,0,0,4310.936574
in other,0,0,96818.06427,0,0,0,0,0,0,0,96818.06427
