Energy balance created with IEA balance builder tool based on data provided by the user 11/11/25 14:10 (Version: August 2022.1).,,,,,,,,,,,,,,,,,,,,,,,,,,Hide -->,,,,,,,,,,,,,,,,<-- Hide,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,Flow name,,, ,Product name,,,,,,,,,,,,,,,,,,,,
2023,,,,,,,,,,,UNOFFICIAL,,,,,,,,,,,,,,,,English,Pусский,CHN, ,,1,2,3,4,5,6,7,8,9,10,11,,,,,,,,,
Terajoules (TJ),,,,,,,,,,,,,,,,,,,,,,,,,,1,Thousand tonnes of oil equivalent (ktoe),Тысяч тонн нефтяного эквивалента (1000 тнэ),千吨油当量, ,English,Coal,Crude oil,"Oil
products",Natural gas,Nuclear,Hydro,"Geo-therm./
Solar/
etc.","Biofuels/
Waste",Electri-city,Heat,Total,,,,,,,,,
"SUPPLY AND
CONSUMPTION",Coal,Crude oil,"Oil
products",Natural gas,Nuclear,Hydro,"Geo-therm./
Solar/
etc.","Biofuels/
Waste",Electri-city,Heat,Total,,,,,,,,,,,,,,,2,"SUPPLY AND
CONSUMPTION","ПОСТАВКА И
ПОТРЕБЛЕНИЕ",[missing Chinese], ,Pусский,Уголь,Сырая нефть,Нефтепродукты,Природный газ,Атомная энергия,Гидроэнергия,"Геотерм./
солн./
т.д","Биотопливо/
отходы",Электричество,Тепло,Всего,,,,,,,,,
Production,5497285.924,0.038,312218.636,655.000,136647.879,-29858.552,78529.080,652280.500,-,-,6647758.505,,,,,,,,,,,,,,,3,Production,Производство,产量, ,CHN,煤炭,原油,石油产品,天然气,核能,水能,地热能、太阳能、风能和其他,生物燃料和废弃物,电力,热力,总计,,,,,,,,,
Imports,51069.143,307174.690,798101.168,133923.422,-,-,-,-,29602.800,-,1319871.223,,,,,,,,,,,,,,,4,Imports,Импорт,进口量, ,,,,,,,,,,,,,,,,,,,,,
Exports,-1094444.382,-1.734,-136194.210,-392.679,-,-,-,-,33634.800,-,-1197398.206,,,,,,,,,,,,,,,5,Exports,Экспорт,出口量, ,,,,,,,,,,,,,,,,,,,,,
Intl. marine bunkers,-,-,-2265.659,-,-,-,-,-,-,-,-2265.659,,,,,,,,,,,,,,,6,Intl. marine bunkers,международный бункер водных перевозок,国际海运船舶燃料, ,,,,,,,,,,,,,,,,,,,,,
Intl. aviation bunkers,-,-,-2421.510,-,-,-,-,-,-,-,-2421.510,,,,,,,,,,,,,,,7,Intl. aviation bunkers,международный бункер авиационных перевозок,国际航空燃料, ,,,,,,,,"Геотермальная/
солнечная/
и т.д",,,,,,,,,,,,,
Stock changes,-,33857.766,-11508.363,-,-,-,-,-,-,-,22349.403,,,,,,,,,,,,,,,8,Stock changes,Изменение остатков,库存变化, ,,,,,,,,,,,,,,,,,,,,,
TPES,4453910.685,341030.759,957930.061,134185.743,136647.879,-29858.552,78529.080,652280.500,63237.600,-,6787893.756,,,,,,,,,,,,,,,9,TPES,ОБЩЕЕ ПРЕДЛОЖЕНИЕ ПЕРВИЧНОЙ ЭНЕРГИИ (ОППЭ),初级能源供应总量, ,,,,,,,,,,,,,,,,,,,,,
Transfers,-,-180768.796,-,-,-,-,-,-,-,-,-180768.796,,,,,,,,,,,,,,,10,Transfers,Передачи,转换产出量, ,,,,,,,,,,,,,,,,,,,,,
Statistical differences,-945495.407,103172.116,430856.923,-388.390,-29706.061,-6671.120,-16743.005,-,475583.881,-,10608.936,,,,,,,,,,,,,,,11,Statistical differences,Статистическое расхождение,统计差异, ,,,,,,,,,,,,,,,,,,,,,
Electricity plants,-2375269.072,-,-30449.063,-,-106941.818,36529.672,-61786.075,-4298.840,721797.119,-,-1820418.077,,,,,,,,,,,,,,,12,Electricity plants,Электростанции,热电联产厂, ,,,,,,,,,,,,,,,,,,,,,
CHP plants,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,13,CHP plants,Тепло-электроцентрали,热力厂, ,,,,,,,,,,,,,,,,,,,,,
Heat plants,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,14,Heat plants,Теплоцентрали,高炉气厂 , ,,,,,,,,,,,,,,,,,,,,,
Blast furnaces,-20747.930,-,-,-,-,-,-,-,-,-,-20747.930,,,,,,,,,,,,,,,15,Blast furnaces,Доменные печи,高炉, ,,,,,,,,,,,,,,,,,,,,,
Gas works,21779.724,-,-,-,-,-,-,-,-,-,21779.724,,,,,,,,,,,,,,,16,Gas works,Газовые заводы,煤气厂, ,,,,,,,,,,,,,,,,,,,,,
Coke/pat. fuel/BKB/PB plants,-22298.203,-,-,-,-,-,-,-,-,-,-22298.203,,,,,,,,,,,,,,,17,Coke/pat. fuel/BKB/PB plants,Кокс. печи/Предпр-ия по пр-ву каменноуг./буроуг. Брик./торф. брикеты,炼焦 / 专用燃料 / 褐煤型煤厂, ,,,,,,,,,,,,,,,,,,,,,
Oil refineries,-,-444202.875,376440.526,-,-,-,-,-,-,-,-67762.349,,,,,,,,,,,,,,,18,Oil refineries,Нефтеперерабатывающие заводы,炼油厂, ,,,,,,,,,,,,,,,,,,,,,
Petrochemical plants,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,19,Petrochemical plants,Нефтехимические заводы,石化厂, ,,,,,,,,,,,,,,,,,,,,,
