Industries,Basic iron and steel products
Agriculture,0.054250613
Forestry,6.76596E-05
Fishing,0.000471485
Coal,0.003291339
Gold,0.008502352
Metals,0.033385119
Other mining and quarrying,0.003375812
Food,0.000161281
Beverages and tobacco,0.000568898
Textiles,0.000433822
Wearing apparel,0.000220422
Leather and leather and fur products,0
Footwear,3.01353E-05
Wood and wood products,0.000566047
Paper and paper products,0
"Printing , recorded media",0
"Coke, petroleum products and nuclear fuel",0.018985148
Basic chemicals,0.000672289
Other chemical products,0.000978722
Rubber products,0.000500835
Plastic products,0.000401169
Glass and glass products,0.000523881
Non-metallic mineral products,0.002093539
Basic iron and steel products; casting of metal,0.072490331
Non-ferrous metal products,0.002853544
Structural metal products,0.126982806
Other fabricated metal products,0.180612156
Machinery and equipment,0.27852538
Electrical machinery,0.01044903
"Radio, television and communication apparatus",0.0005862
Professional equipment,0.00128674
"Motor vehicles, parts and accessories",0.120338744
Other transport equipment,0.008263266
Furniture,0.010548455
Other manufacturing groups,0.020712869
Electricity and gas,0.00781491
Water,0.000599129
Construction,0.024834345
Wholesale and retail trade,0
Catering and accommodation services,0
Transport and storage,0
Communication,0
Finance and insurance,0
Professional business services,0.001603906
Business activities n.e.c.,0
National and Provincial government,0
Local government,0.000390633
Education (Private),0.000289624
Health and social work (Private),0
"Other community, social and personal services",0.001337364
