"Copyright 2025 Quantec EasyData"
"Download Date: 2025-11-14"
"Data Set: RGVA—Regional Output and GVA at basic prices by industry and 2016 local municipal/ward-based metro region level"
"Source: Quantec"
"Frequency: Annual"
"","","","","",""
"Concept","","","","Output at basic prices","Gross value added at basic prices"
"Unit","Date","Geography","Industry","",""
"R millions current prices","2019","Total: South Africa","Total",11047175.96,5058165.529
"R millions current prices","2019","Total: South Africa","I1: Primary sector [SIC: 1-2]",1160989.708,424299.267
"R millions current prices","2019","Total: South Africa","I01: Agriculture, forestry and fishing [QSIC 1]",373766.672,109709.597
"R millions current prices","2019","Total: South Africa","I0101: Agriculture, forestry and fishing [QSIC 1]",373766.672,109709.597
"R millions current prices","2019","Total: South Africa","I010101: Agriculture [QSIC 11]",335022.554,93532.803
"R millions current prices","2019","Total: South Africa","I010102: Forestry [QSIC 12]",18626.862,5738.976
"R millions current prices","2019","Total: South Africa","I010103: Fishing [QSIC 13]",20117.256,10437.818
"R millions current prices","2019","Total: South Africa","I02: Mining and quarrying [QSIC 2]",787223.036,314589.67
"R millions current prices","2019","Total: South Africa","I0202: Mining and quarrying [QSIC 2]",787223.036,314589.67
"R millions current prices","2019","Total: South Africa","I020204: Coal [QSIC 21]",148801.967,64584.026
"R millions current prices","2019","Total: South Africa","I020205: Gold [QSIC 23]",86775.781,36182.788
"R millions current prices","2019","Total: South Africa","I020206: Metals [QSIC 24]",462965.288,188727.909
"R millions current prices","2019","Total: South Africa","I020207: Other mining and quarrying [22, 25-29]",88680.0,25094.947
"R millions current prices","2019","Total: South Africa","I2: Secondary sector [SIC: 3-5]",3491732.161,1014197.471
"R millions current prices","2019","Total: South Africa","I03: Manufacturing [QSIC 3]",2664365.823,697575.737
"R millions current prices","2019","Total: South Africa","I0303: Food, beverages and tobacco [QSIC 30]",519758.177,147534.937
"R millions current prices","2019","Total: South Africa","I030308: Food [QSIC 301-304]",384665.606,92317.018
"R millions current prices","2019","Total: South Africa","I030309: Beverages and tobacco [QSIC 305-306]",135092.571,55217.919
"R millions current prices","2019","Total: South Africa","I0304: Textiles, clothing and leather goods [QSIC 31]",82456.121,26490.647
"R millions current prices","2019","Total: South Africa","I030410: Textiles [QSIC 311-312]",27963.947,10475.406
"R millions current prices","2019","Total: South Africa","I030411: Wearing apparel [QSIC 313-315]",40083.357,12704.239
"R millions current prices","2019","Total: South Africa","I030412: Leather and leather products [QSIC 316]",8005.796,1683.605
"R millions current prices","2019","Total: South Africa","I030413: Footwear [QSIC 317]",6403.021,1627.397
"R millions current prices","2019","Total: South Africa","I0305: Wood and paper; publishing and printing [QSIC 32]",197057.212,67765.664
"R millions current prices","2019","Total: South Africa","I030514: Wood and wood products [QSIC 321-322]",36283.683,10954.877
"R millions current prices","2019","Total: South Africa","I030515: Paper and paper products [QSIC 323]",96414.937,34285.38
"R millions current prices","2019","Total: South Africa","I030516: Printing , recorded media [QSIC 324-326]",64358.592,22525.407
"R millions current prices","2019","Total: South Africa","I0306: Petroleum products, chemicals, rubber and plastic [QSIC 33]",664581.811,159143.292
"R millions current prices","2019","Total: South Africa","I030617: Coke, petroleum products and nuclear fuel [QSIC 331-333]",348316.541,75160.174
"R millions current prices","2019","Total: South Africa","I030618: Basic chemicals [QSIC 334]",108724.101,22429.066
"R millions current prices","2019","Total: South Africa","I030619: Other chemical products [QSIC 335-336]",137294.944,42744.954
"R millions current prices","2019","Total: South Africa","I030620: Rubber products [QSIC 337]",21116.871,4649.91
"R millions current prices","2019","Total: South Africa","I030621: Plastic products [QSIC 338]",49129.354,14159.188
"R millions current prices","2019","Total: South Africa","I0307: Other non-metal mineral products [QSIC 34]",70796.63,19919.922
"R millions current prices","2019","Total: South Africa","I030722: Glass and glass products [QSIC 341]",10154.299,3273.814
"R millions current prices","2019","Total: South Africa","I030723: Non-metallic mineral products [QSIC 342]",60642.331,16646.108
"R millions current prices","2019","Total: South Africa","I0308: Metals, metal products, machinery and equipment [QSIC 35]",499594.348,129870.937
"R millions current prices","2019","Total: South Africa","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",102494.407,21359.105
"R millions current prices","2019","Total: South Africa","I030825: Non-ferrous metal products [QSIC 352]",124372.692,19654.926
"R millions current prices","2019","Total: South Africa","I030826: Structural metal products [QSIC 354]",36009.443,10790.954
"R millions current prices","2019","Total: South Africa","I030827: Other fabricated metal products [QSIC 355]",84641.097,27128.499
"R millions current prices","2019","Total: South Africa","I030828: Machinery and equipment [QSIC 356-359]",152076.709,50937.453
"R millions current prices","2019","Total: South Africa","I0309: Electrical machinery and apparatus [QSIC 36]",52075.354,13703.016
"R millions current prices","2019","Total: South Africa","I030929: Electrical machinery [QSIC 361-366]",52075.354,13703.016
"R millions current prices","2019","Total: South Africa","I0310: Radio, TV, instruments, watches and clocks [QSIC 37]",30758.226,7334.006
"R millions current prices","2019","Total: South Africa","I031030: Radio, television and communication apparatus [QSIC 371-373]",17250.75,1222.255
"R millions current prices","2019","Total: South Africa","I031031: Professional equipment [QSIC 374-376]",13507.476,6111.751
"R millions current prices","2019","Total: South Africa","I0311: Transport equipment [QSIC 38]",316497.027,59103.998
"R millions current prices","2019","Total: South Africa","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",292502.959,49822.907
"R millions current prices","2019","Total: South Africa","I031133: Other transport equipment [QSIC 384-387]",23994.068,9281.091
"R millions current prices","2019","Total: South Africa","I0312: Furniture; other manufacturing [QSIC 39]",230790.917,66709.318
"R millions current prices","2019","Total: South Africa","I031234: Furniture [QSIC 391]",17532.288,4189.338
"R millions current prices","2019","Total: South Africa","I031235: Other manufacturing groups [QSIC 392, 395]",213258.629,62519.98
"R millions current prices","2019","Total: South Africa","I04: Electricity, gas and water [QSIC 4]",338339.981,150939.495
"R millions current prices","2019","Total: South Africa","I0413: Electricity, gas and water [QSIC 4]",338339.981,150939.495
"R millions current prices","2019","Total: South Africa","I041336: Electricity and gas [QSIC 41]",274501.13,113957.067
"R millions current prices","2019","Total: South Africa","I041337: Water [QSIC 42]",63838.851,36982.428
"R millions current prices","2019","Total: South Africa","I05: Construction [QSIC 5]",489026.357,165682.239
"R millions current prices","2019","Total: South Africa","I0514: Construction [QSIC 5]",489026.357,165682.239
"R millions current prices","2019","Total: South Africa","I051438: Construction [QSIC 5]",489026.357,165682.239
"R millions current prices","2019","Total: South Africa","I3: Tertiary sector [SIC: 6-9, 0]",6394454.095,3619668.791
"R millions current prices","2019","Total: South Africa","I06: Wholesale and retail trade, catering and accommodation [QSIC 6]",1242317.841,701084.605
"R millions current prices","2019","Total: South Africa","I0615: Wholesale and retail trade [QSIC 61-63]",1072258.618,632247.605
"R millions current prices","2019","Total: South Africa","I061539: Wholesale and retail trade [QSIC 61-63]",1072258.618,632247.605
"R millions current prices","2019","Total: South Africa","I0616: Catering and accommodation services [QSIC 64]",170059.223,68837.0
"R millions current prices","2019","Total: South Africa","I061640: Catering and accommodation services [QSIC 64]",170059.223,68837.0
"R millions current prices","2019","Total: South Africa","I07: Transport, storage and communication [QSIC 7]",1074267.444,417542.315
"R millions current prices","2019","Total: South Africa","I0717: Transport and storage [QSIC 71-74]",690692.083,290494.475
"R millions current prices","2019","Total: South Africa","I071741: Transport and storage [QSIC 71-74]",690692.083,290494.475
"R millions current prices","2019","Total: South Africa","I0718: Communication [QSIC 75]",383575.361,127047.84
"R millions current prices","2019","Total: South Africa","I071842: Communication [QSIC 75]",383575.361,127047.84
"R millions current prices","2019","Total: South Africa","I08: Finance, insurance, real estate and business services [QSIC 8]",2158303.925,1206137.03
"R millions current prices","2019","Total: South Africa","I0819: Finance and insurance [QSIC 81-82]",535309.399,289593.961
"R millions current prices","2019","Total: South Africa","I081943: Finance and insurance [QSIC 81-82]",535309.399,289593.961
