"Copyright 2025 Quantec EasyData"
"Download Date: 2025-11-14"
"Data Set: RLQT—Location quotient for GVA at basic prices by 2016 municipality/ward-based metro region"
"Source: Quantec"
"Frequency: Annual"
"","","","","","",""
"Concept","","","","Location quotient relative to District Municipality","Location quotient relative to Province","Location quotient relative to National"
"Unit","Date","Geography","Industry","","",""
"Index","2019","Total: South Africa","I010101: Agriculture [QSIC 11]","","",1.0
"Index","2019","Total: South Africa","I010102: Forestry [QSIC 12]","","",1.0
"Index","2019","Total: South Africa","I010103: Fishing [QSIC 13]","","",1.0
"Index","2019","Total: South Africa","I020204: Coal [QSIC 21]","","",1.0
"Index","2019","Total: South Africa","I020205: Gold [QSIC 23]","","",1.0
"Index","2019","Total: South Africa","I020206: Metals [QSIC 24]","","",1.0
"Index","2019","Total: South Africa","I020207: Other mining and quarrying [22, 25-29]","","",1.0
"Index","2019","Total: South Africa","I030308: Food [QSIC 301-304]","","",1.0
"Index","2019","Total: South Africa","I030309: Beverages and tobacco [QSIC 305-306]","","",1.0
"Index","2019","Total: South Africa","I030410: Textiles [QSIC 311-312]","","",1.0
"Index","2019","Total: South Africa","I030411: Wearing apparel [QSIC 313-315]","","",1.0
"Index","2019","Total: South Africa","I030412: Leather and leather products [QSIC 316]","","",1.0
"Index","2019","Total: South Africa","I030413: Footwear [QSIC 317]","","",1.0
"Index","2019","Total: South Africa","I030514: Wood and wood products [QSIC 321-322]","","",1.0
"Index","2019","Total: South Africa","I030515: Paper and paper products [QSIC 323]","","",1.0
"Index","2019","Total: South Africa","I030516: Printing , recorded media [QSIC 324-326]","","",1.0
"Index","2019","Total: South Africa","I030617: Coke, petroleum products and nuclear fuel [QSIC 331-333]","","",1.0
"Index","2019","Total: South Africa","I030618: Basic chemicals [QSIC 334]","","",1.0
"Index","2019","Total: South Africa","I030619: Other chemical products [QSIC 335-336]","","",1.0
"Index","2019","Total: South Africa","I030620: Rubber products [QSIC 337]","","",1.0
"Index","2019","Total: South Africa","I030621: Plastic products [QSIC 338]","","",1.0
"Index","2019","Total: South Africa","I030722: Glass and glass products [QSIC 341]","","",1.0
"Index","2019","Total: South Africa","I030723: Non-metallic mineral products [QSIC 342]","","",1.0
"Index","2019","Total: South Africa","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]","","",1.0
"Index","2019","Total: South Africa","I030825: Non-ferrous metal products [QSIC 352]","","",1.0
"Index","2019","Total: South Africa","I030826: Structural metal products [QSIC 354]","","",1.0
"Index","2019","Total: South Africa","I030827: Other fabricated metal products [QSIC 355]","","",1.0
"Index","2019","Total: South Africa","I030828: Machinery and equipment [QSIC 356-359]","","",1.0
"Index","2019","Total: South Africa","I030929: Electrical machinery [QSIC 361-366]","","",1.0
"Index","2019","Total: South Africa","I031030: Radio, television and communication apparatus [QSIC 371-373]","","",1.0
"Index","2019","Total: South Africa","I031031: Professional equipment [QSIC 374-376]","","",1.0
"Index","2019","Total: South Africa","I031132: Motor vehicles, parts and accessories [QSIC 381-383]","","",1.0
"Index","2019","Total: South Africa","I031133: Other transport equipment [QSIC 384-387]","","",1.0
"Index","2019","Total: South Africa","I031234: Furniture [QSIC 391]","","",1.0
"Index","2019","Total: South Africa","I031235: Other manufacturing groups [QSIC 392, 395]","","",1.0
"Index","2019","Total: South Africa","I041336: Electricity and gas [QSIC 41]","","",1.0
"Index","2019","Total: South Africa","I041337: Water [QSIC 42]","","",1.0
"Index","2019","Total: South Africa","I051438: Construction [QSIC 5]","","",1.0
"Index","2019","Total: South Africa","I061539: Wholesale and retail trade [QSIC 61-63]","","",1.0
"Index","2019","Total: South Africa","I061640: Catering and accommodation services [QSIC 64]","","",1.0
"Index","2019","Total: South Africa","I071741: Transport and storage [QSIC 71-74]","","",1.0
"Index","2019","Total: South Africa","I071842: Communication [QSIC 75]","","",1.0
"Index","2019","Total: South Africa","I081943: Finance and insurance [QSIC 81-82]","","",1.0
"Index","2019","Total: South Africa","I082044: Professional business services [QSIC 831-883]","","",1.0
"Index","2019","Total: South Africa","I082045: Business activities n.e.c. [QSIC 889]","","",1.0
"Index","2019","Total: South Africa","I092146: National and Provincial government [QSIC 911]","","",1.0
"Index","2019","Total: South Africa","I092147: Local government [QSIC 913]","","",1.0
"Index","2019","Total: South Africa","I102248: Education (Private) [QSIC 92]","","",1.0
"Index","2019","Total: South Africa","I102249: Health and social work (Private) [QSIC 93]","","",1.0
"Index","2019","Total: South Africa","I102250: Other community, social and personal services [QSIC 94-96, 99]","","",1.0
"Index","2019","P1: Western Cape","I010101: Agriculture [QSIC 11]","","",1.07379229224898
"Index","2019","P1: Western Cape","I010102: Forestry [QSIC 12]","","",0.44007597156014
"Index","2019","P1: Western Cape","I010103: Fishing [QSIC 13]","","",5.49533236690416
"Index","2019","P1: Western Cape","I020204: Coal [QSIC 21]","","",0.0
"Index","2019","P1: Western Cape","I020205: Gold [QSIC 23]","","",0.0
"Index","2019","P1: Western Cape","I020206: Metals [QSIC 24]","","",0.00276233542692
"Index","2019","P1: Western Cape","I020207: Other mining and quarrying [22, 25-29]","","",0.38304693516904
"Index","2019","P1: Western Cape","I030308: Food [QSIC 301-304]","","",1.28409892989497
"Index","2019","P1: Western Cape","I030309: Beverages and tobacco [QSIC 305-306]","","",1.65894046321738
"Index","2019","P1: Western Cape","I030410: Textiles [QSIC 311-312]","","",1.48463435474318
"Index","2019","P1: Western Cape","I030411: Wearing apparel [QSIC 313-315]","","",1.70748418050019
"Index","2019","P1: Western Cape","I030412: Leather and leather products [QSIC 316]","","",1.00862151898245
"Index","2019","P1: Western Cape","I030413: Footwear [QSIC 317]","","",1.49091231616602
"Index","2019","P1: Western Cape","I030514: Wood and wood products [QSIC 321-322]","","",1.02624299018182
"Index","2019","P1: Western Cape","I030515: Paper and paper products [QSIC 323]","","",0.95910604347706
"Index","2019","P1: Western Cape","I030516: Printing , recorded media [QSIC 324-326]","","",1.91483836464863
"Index","2019","P1: Western Cape","I030617: Coke, petroleum products and nuclear fuel [QSIC 331-333]","","",0.88657800967541
"Index","2019","P1: Western Cape","I030618: Basic chemicals [QSIC 334]","","",0.79894206501922
"Index","2019","P1: Western Cape","I030619: Other chemical products [QSIC 335-336]","","",0.81885323311272
"Index","2019","P1: Western Cape","I030620: Rubber products [QSIC 337]","","",0.68165827030226
"Index","2019","P1: Western Cape","I030621: Plastic products [QSIC 338]","","",1.45810806005357
"Index","2019","P1: Western Cape","I030722: Glass and glass products [QSIC 341]","","",1.33665783782806
"Index","2019","P1: Western Cape","I030723: Non-metallic mineral products [QSIC 342]","","",0.84939488636425
"Index","2019","P1: Western Cape","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]","","",0.50500553816913
"Index","2019","P1: Western Cape","I030825: Non-ferrous metal products [QSIC 352]","","",0.40322631975311
"Index","2019","P1: Western Cape","I030826: Structural metal products [QSIC 354]","","",0.94487570631482
"Index","2019","P1: Western Cape","I030827: Other fabricated metal products [QSIC 355]","","",0.94177139517321
"Index","2019","P1: Western Cape","I030828: Machinery and equipment [QSIC 356-359]","","",0.89119913398379
"Index","2019","P1: Western Cape","I030929: Electrical machinery [QSIC 361-366]","","",0.80571039026325
"Index","2019","P1: Western Cape","I031030: Radio, television and communication apparatus [QSIC 371-373]","","",0.96586968192148
"Index","2019","P1: Western Cape","I031031: Professional equipment [QSIC 374-376]","","",1.13750480589536
"Index","2019","P1: Western Cape","I031132: Motor vehicles, parts and accessories [QSIC 381-383]","","",0.73470298514179
"Index","2019","P1: Western Cape","I031133: Other transport equipment [QSIC 384-387]","","",1.55062063409576
"Index","2019","P1: Western Cape","I031234: Furniture [QSIC 391]","","",1.0602070718769
"Index","2019","P1: Western Cape","I031235: Other manufacturing groups [QSIC 392, 395]","","",1.23860776924533
"Index","2019","P1: Western Cape","I041336: Electricity and gas [QSIC 41]","","",0.90347612469667
"Index","2019","P1: Western Cape","I041337: Water [QSIC 42]","","",0.60246584383474
"Index","2019","P1: Western Cape","I051438: Construction [QSIC 5]","","",1.42506564720313
"Index","2019","P1: Western Cape","I061539: Wholesale and retail trade [QSIC 61-63]","","",1.06460766270389
"Index","2019","P1: Western Cape","I061640: Catering and accommodation services [QSIC 64]","","",1.15323474165753
"Index","2019","P1: Western Cape","I071741: Transport and storage [QSIC 71-74]","","",1.17776727290982
"Index","2019","P1: Western Cape","I071842: Communication [QSIC 75]","","",1.30536773490794
"Index","2019","P1: Western Cape","I081943: Finance and insurance [QSIC 81-82]","","",1.23199199773081
"Index","2019","P1: Western Cape","I082044: Professional business services [QSIC 831-883]","","",1.33370871563556
"Index","2019","P1: Western Cape","I082045: Business activities n.e.c. [QSIC 889]","","",1.06359670999354
"Index","2019","P1: Western Cape","I092146: National and Provincial government [QSIC 911]","","",0.60237959486524
"Index","2019","P1: Western Cape","I092147: Local government [QSIC 913]","","",0.86389388188368
"Index","2019","P1: Western Cape","I102248: Education (Private) [QSIC 92]","","",0.55294214539704
"Index","2019","P1: Western Cape","I102249: Health and social work (Private) [QSIC 93]","","",0.8303934713835
"Index","2019","P1: Western Cape","I102250: Other community, social and personal services [QSIC 94-96, 99]","","",0.81794287317096
"Index","2019","P1D01: West Coast (DC1)","I010101: Agriculture [QSIC 11]","",5.0678164393115,5.44178223106535
"Index","2019","P1D01: West Coast (DC1)","I010102: Forestry [QSIC 12]","",2.13880066448769,0.94123478039789
"Index","2019","P1D01: West Coast (DC1)","I010103: Fishing [QSIC 13]","",7.06347800423693,38.8161592995988
"Index","2019","P1D01: West Coast (DC1)","I020204: Coal [QSIC 21]","","",0.0
"Index","2019","P1D01: West Coast (DC1)","I020205: Gold [QSIC 23]","","",0.0
"Index","2019","P1D01: West Coast (DC1)","I020206: Metals [QSIC 24]","",21.6952349447632,0.05992951608337
"Index","2019","P1D01: West Coast (DC1)","I020207: Other mining and quarrying [22, 25-29]","",3.90267954263131,1.49490943775181
"Index","2019","P1D01: West Coast (DC1)","I030308: Food [QSIC 301-304]","",3.19820130714713,4.10680687609632
"Index","2019","P1D01: West Coast (DC1)","I030309: Beverages and tobacco [QSIC 305-306]","",2.44906116720358,4.0628466671684
"Index","2019","P1D01: West Coast (DC1)","I030410: Textiles [QSIC 311-312]","",0.89101165923624,1.32282651977884
"Index","2019","P1D01: West Coast (DC1)","I030411: Wearing apparel [QSIC 313-315]","",0.42515899305911,0.72595225484582
"Index","2019","P1D01: West Coast (DC1)","I030412: Leather and leather products [QSIC 316]","",0.23245352304504,0.23445762550651
"Index","2019","P1D01: West Coast (DC1)","I030413: Footwear [QSIC 317]","",0.38791562438403,0.57834818202738
"Index","2019","P1D01: West Coast (DC1)","I030514: Wood and wood products [QSIC 321-322]","",1.26177735120268,1.29489016184193
"Index","2019","P1D01: West Coast (DC1)","I030515: Paper and paper products [QSIC 323]","",0.62237092607119,0.59691971647929
"Index","2019","P1D01: West Coast (DC1)","I030516: Printing , recorded media [QSIC 324-326]","",0.3165320126576,0.60610764147622
"Index","2019","P1D01: West Coast (DC1)","I030617: Coke, petroleum products and nuclear fuel [QSIC 331-333]","",0.42223858775,0.37434744673555
"Index","2019","P1D01: West Coast (DC1)","I030618: Basic chemicals [QSIC 334]","",0.62565121675034,0.49985907509231
