"Copyright 2025 Quantec EasyData"
"Download Date: 2025-11-13"
"Data Set: RGVA—Regional Output and GVA at basic prices by industry and 2016 local municipal/ward-based metro region level"
"Source: Quantec"
"Frequency: Annual"
"","","","","",""
"Concept","","","","Output at basic prices","Gross value added at basic prices"
"Unit","Date","Geography","Industry","",""
"R millions current prices","2019","Total: South Africa","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",102494.407,21359.105
"R millions current prices","2019","Total: South Africa","I030826: Structural metal products [QSIC 354]",36009.443,10790.954
"R millions current prices","2019","Total: South Africa","I030827: Other fabricated metal products [QSIC 355]",84641.097,27128.499
"R millions current prices","2019","Total: South Africa","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",292502.959,49822.907
"R millions current prices","2019","P1: Western Cape","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",7328.028,1519.722
"R millions current prices","2019","P1: Western Cape","I030826: Structural metal products [QSIC 354]",4838.589,1442.778
"R millions current prices","2019","P1: Western Cape","I030827: Other fabricated metal products [QSIC 355]",11259.276,3616.974
"R millions current prices","2019","P1: Western Cape","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",30208.728,5205.738
"R millions current prices","2019","P1D01: West Coast (DC1)","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",928.303,194.439
"R millions current prices","2019","P1D01: West Coast (DC1)","I030826: Structural metal products [QSIC 354]",203.367,61.041
"R millions current prices","2019","P1D01: West Coast (DC1)","I030827: Other fabricated metal products [QSIC 355]",561.708,182.79
"R millions current prices","2019","P1D01: West Coast (DC1)","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",690.162,111.878
"R millions current prices","2019","P1D02: Cape Winelands (DC2)","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",693.43,141.65
"R millions current prices","2019","P1D02: Cape Winelands (DC2)","I030826: Structural metal products [QSIC 354]",504.445,147.864
"R millions current prices","2019","P1D02: Cape Winelands (DC2)","I030827: Other fabricated metal products [QSIC 355]",1130.892,357.337
"R millions current prices","2019","P1D02: Cape Winelands (DC2)","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",2882.647,478.5
"R millions current prices","2019","P1D03: Overberg (DC3)","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",317.364,64.256
"R millions current prices","2019","P1D03: Overberg (DC3)","I030826: Structural metal products [QSIC 354]",161.64,47.086
"R millions current prices","2019","P1D03: Overberg (DC3)","I030827: Other fabricated metal products [QSIC 355]",467.408,144.476
"R millions current prices","2019","P1D03: Overberg (DC3)","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",927.56,152.623
"R millions current prices","2019","P1D04: Eden (DC4)","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",452.148,93.172
"R millions current prices","2019","P1D04: Eden (DC4)","I030826: Structural metal products [QSIC 354]",315.708,91.479
"R millions current prices","2019","P1D04: Eden (DC4)","I030827: Other fabricated metal products [QSIC 355]",765.332,244.113
"R millions current prices","2019","P1D04: Eden (DC4)","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",2193.794,369.915
"R millions current prices","2019","P1D05: Central Karoo (DC5)","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",4.457,0.823
"R millions current prices","2019","P1D05: Central Karoo (DC5)","I030826: Structural metal products [QSIC 354]",0.0,0.0
"R millions current prices","2019","P1D05: Central Karoo (DC5)","I030827: Other fabricated metal products [QSIC 355]",19.4,6.168
"R millions current prices","2019","P1D05: Central Karoo (DC5)","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",15.373,2.903
"R millions current prices","2019","P1D06: City of Cape Town (CPT)","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",4932.326,1025.382
"R millions current prices","2019","P1D06: City of Cape Town (CPT)","I030826: Structural metal products [QSIC 354]",3653.429,1095.308
"R millions current prices","2019","P1D06: City of Cape Town (CPT)","I030827: Other fabricated metal products [QSIC 355]",8314.536,2682.09
"R millions current prices","2019","P1D06: City of Cape Town (CPT)","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",23499.192,4089.919
"R millions current prices","2019","P2: Eastern Cape","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",3177.823,647.918
"R millions current prices","2019","P2: Eastern Cape","I030826: Structural metal products [QSIC 354]",2001.499,597.5
"R millions current prices","2019","P2: Eastern Cape","I030827: Other fabricated metal products [QSIC 355]",6837.034,2154.841
"R millions current prices","2019","P2: Eastern Cape","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",69546.943,12020.578
"R millions current prices","2019","P2D01: Sarah Baartman (DC10)","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",299.37,60.538
"R millions current prices","2019","P2D01: Sarah Baartman (DC10)","I030826: Structural metal products [QSIC 354]",95.392,27.316
"R millions current prices","2019","P2D01: Sarah Baartman (DC10)","I030827: Other fabricated metal products [QSIC 355]",553.303,171.317
"R millions current prices","2019","P2D01: Sarah Baartman (DC10)","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",3738.154,627.004
"R millions current prices","2019","P2D02: Amathole (DC12)","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",116.642,22.274
"R millions current prices","2019","P2D02: Amathole (DC12)","I030826: Structural metal products [QSIC 354]",43.962,11.741
"R millions current prices","2019","P2D02: Amathole (DC12)","I030827: Other fabricated metal products [QSIC 355]",357.214,101.838
"R millions current prices","2019","P2D02: Amathole (DC12)","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",394.552,60.954
"R millions current prices","2019","P2D03: Chris Hani (DC13)","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",84.514,16.619
"R millions current prices","2019","P2D03: Chris Hani (DC13)","I030826: Structural metal products [QSIC 354]",43.14,12.256
"R millions current prices","2019","P2D03: Chris Hani (DC13)","I030827: Other fabricated metal products [QSIC 355]",301.265,90.408
"R millions current prices","2019","P2D03: Chris Hani (DC13)","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",744.722,125.224
"R millions current prices","2019","P2D04: Joe Gqabi (DC14)","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",15.724,3.047
"R millions current prices","2019","P2D04: Joe Gqabi (DC14)","I030826: Structural metal products [QSIC 354]",0.0,0.0
"R millions current prices","2019","P2D04: Joe Gqabi (DC14)","I030827: Other fabricated metal products [QSIC 355]",81.659,23.724
"R millions current prices","2019","P2D04: Joe Gqabi (DC14)","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",118.03,17.489
"R millions current prices","2019","P2D05: O.R.Tambo (DC15)","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",37.12,6.97
"R millions current prices","2019","P2D05: O.R.Tambo (DC15)","I030826: Structural metal products [QSIC 354]",68.18,19.826
"R millions current prices","2019","P2D05: O.R.Tambo (DC15)","I030827: Other fabricated metal products [QSIC 355]",183.027,53.714
"R millions current prices","2019","P2D05: O.R.Tambo (DC15)","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",224.623,34.671
"R millions current prices","2019","P2D06: Alfred Nzo (DC44)","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",48.945,9.936
"R millions current prices","2019","P2D06: Alfred Nzo (DC44)","I030826: Structural metal products [QSIC 354]",10.345,2.682
"R millions current prices","2019","P2D06: Alfred Nzo (DC44)","I030827: Other fabricated metal products [QSIC 355]",124.87,37.315
"R millions current prices","2019","P2D06: Alfred Nzo (DC44)","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",55.523,7.633
"R millions current prices","2019","P2D07: Buffalo City (BUF)","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",563.378,114.66
"R millions current prices","2019","P2D07: Buffalo City (BUF)","I030826: Structural metal products [QSIC 354]",381.979,116.124
"R millions current prices","2019","P2D07: Buffalo City (BUF)","I030827: Other fabricated metal products [QSIC 355]",1284.95,412.704
"R millions current prices","2019","P2D07: Buffalo City (BUF)","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",10267.057,1727.417
"R millions current prices","2019","P2D08: Nelson Mandela Bay (NMA)","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",2012.13,413.874
"R millions current prices","2019","P2D08: Nelson Mandela Bay (NMA)","I030826: Structural metal products [QSIC 354]",1358.501,407.555
"R millions current prices","2019","P2D08: Nelson Mandela Bay (NMA)","I030827: Other fabricated metal products [QSIC 355]",3950.746,1263.821
