Year,total_steel_consumption,autos_consumption_perc
2004,4619,0.098459859
2005,4331,0.09484276
2006,5465,0.109572947
2007,5473,0.124214136
2008,5545,0.139512192
2009,4066,0.115206568
2010,4422,0.107133912
2011,4619,0.108197644
2012,4390,0.109042271
2013,4480,0.090676248
2014,4233,0.092530459
2015,3635,0.107979994
2016,3718,0.100321191
2017,4009,0.085729338
2018,4011,0.087443955
2019,3643,0.087621618
2020,2710,0.092275095
2021,3180,0.092204681
2022,2817,0.083868735
2023,2818,0.09701277
2024,2678,0.089631626
